input,label,device_person,device_no_person,host_person,host_no_person,p_person,device_us,agree
<embedded person>,person,113,-113,113,-113,0.9414,98734,True
<embedded no_person>,nonperson,-57,57,-57,57,0.2773,98642,True
nonperson_01.jpg,nonperson,-84,84,-84,84,0.1719,98743,True
nonperson_02.jpg,nonperson,-93,93,-93,93,0.1367,98631,True
nonperson_03.jpg,nonperson,-6,6,-6,6,0.4766,98646,True
nonperson_04.jpg,nonperson,-45,45,-45,45,0.3242,98739,True
nonperson_05.jpg,nonperson,-57,57,-57,57,0.2773,98429,True
person_01.jpg,person,114,-114,114,-114,0.9453,98442,True
person_02.jpg,person,95,-95,95,-95,0.8711,98359,True
person_03.jpg,person,114,-114,114,-114,0.9453,98671,True
person_04.jpg,person,39,-39,39,-39,0.6523,98596,True
person_05.jpg,person,59,-59,59,-59,0.7305,98641,True
